sha256,App_name,Category,Vuln type,Number of occurence
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,Network_ClearTextTraffic,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,WebViewAnalysis_ContentProviderAccessEnabled,4
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,WebViewAnalysis_JSUniversalAccessEnabled,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,WebViewAnalysis_JSFileAccessEnabled,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,WebViewAnalysis_FileSchemeCookies,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,WebChromeClientAnalysis_PermissionRequestNoDeny,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Network,ApacheCordova_WildcardAllowIntent,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Permissions,Permissions_UnusedPermissions,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Permissions,IPC_PrivilegeEscalationActionTrigger,2
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Permissions,IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Cryptography,CryptoCheckAnalysis_StaticIV,1
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,3
sha256,App_name,Category,Vuln type,Number of occurence
A6D0DCB255AFF40E9A4719B88562F48738F3CEA61413C8AFC8427B04C84D2F77,Pocket Bank,Permissions,Permissions_UnusedPermissions,1
A6D0DCB255AFF40E9A4719B88562F48738F3CEA61413C8AFC8427B04C84D2F77,Pocket Bank,Permissions,IPC_PrivilegeEscalationActionTrigger,1
