"sha256","App_name","High","Medium","low"
"0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054","SG","6","36","6"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","40","455","18"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","62","67","43"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","18","12","215"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","8","35","89"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","16","14","12"
"C7C3D1AB4DF5BA8881EDA21CA5B93F3E40BD7EA8746292BED82D89650E727EF0","Deutsche Bank","31","210","557"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","2","2","5"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","103","130","56"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","32","54","44"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","51","111","99"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","9","1","10"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","33","12","20"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","13","9","4"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","28","42","51"
"64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D","64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D.apk","33","9","30"
"5D2646E8F15D162F666A9376A6696213F0E0EF269924984DFDA12AA64A27A83F","Private","38","585","9"
"B173675BA85DF2AC2F1ED0A259C61C0D5FF3C3511E40E2AF670C45C2C865B3EA","B173675BA85DF2AC2F1ED0A259C61C0D5FF3C3511E40E2AF670C45C2C865B3EA.apk","36","59","8"
"E23493DB62B4EC5D74BD89FB6E3F3C50C08AB2458D88F03C4DA24FDB94221A1C","La Banque Postale","23","13","18"
"02CE04B6108E8A7B70353A4E1F3CC7A2DF45BDDD25126EBEC4E9FC259054B976","02CE04B6108E8A7B70353A4E1F3CC7A2DF45BDDD25126EBEC4E9FC259054B976.apk","39","249","6"
