sha256,App_name,Category,Vuln type,Number of occurence
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,HttpCompAnalysis_BreachVuln,2
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,X509Checker_BadHostnameVerify,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,PBKDFAnalysis_LowIterationCount,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,KeyStoreAnalysis_HardCodedKey,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Storage,Storage_InsecureApkInstallation,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,X509Checker_InsecureCipherSuite,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,SSLSocketFactory_NoHostnameVerification,6
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,WebViewAnalysis_ContentProviderAccessEnabled,4
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,WebViewAnalysis_JSUniversalAccessEnabled,3
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,WebViewAnalysis_JSFileAccessEnabled,2
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,WebViewAnalysis_JSFileAccessFromFileURLEnabled,2
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,HttpCompAnalysis_BreachVuln,2
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,X509Checker_BadProtocolVerify,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Network,X509Checker_BadHostnameVerify,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Cryptography,KeySizeAnalysis_ShortKey,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,3
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Cryptography,PBKDFAnalysis_LowIterationCount,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Cryptography,CryptoCheckAnalysis_UnsafeECB,3
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Cryptography,CryptoCheckAnalysis_StaticIV,4
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Dynamic Code Loading,FilePermissionAnalysis_NativeLibWritable,1
520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB,BBVA España,Potentially Malicious,PotentiallyMalicious_DevicePolicyManager,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,X509Checker_BadSSLErrHandling,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,X509Checker_BadProtocolVerify,2
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,X509Checker_BadHostnameVerify,2
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,SSLSocketFactory_NoHostnameVerification,6
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,WebViewAnalysis_ContentProviderAccessEnabled,5
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,WebViewAnalysis_JSFileAccessFromFileURLEnabled,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,WebViewAnalysis_JSUniversalAccessEnabled,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Network,HttpCompAnalysis_BreachVuln,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Potentially Malicious,PotentiallyMalicious_DevicePolicyManager,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,CryptoCheckAnalysis_HardCodedKey,17
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,CryptoCheckAnalysis_StaticIV,4
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,5
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,PBKDFAnalysis_HardCodedPassword,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,PBKDFAnalysis_LowIterationCount,2
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Cryptography,PBKDFAnalysis_HardCodedSalt,2
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Storage,FilePermissionAnalysis_FileReadable,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,Storage,FilePermissionAnalysis_FileWritable,1
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,UI,UI_SensitiveFieldSuggestion,3
984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C,Santander,UI,UI_ClearTextPWField,1
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Network,SSLSocketFactory_NoHostnameVerification,2
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Network,LoopbackServerAnalysis_Listen,1
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Network,X509Checker_BadHostnameVerify,1
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Cryptography,PBKDFAnalysis_HardCodedSalt,1
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,4
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Cryptography,CryptoCheckAnalysis_HardCodedKey,2
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Cryptography,CryptoCheckAnalysis_StaticIV,4
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Cryptography,RandomnessAnalysis_PredictableSeed,1
13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C,CaixaBank Project (Des),Storage,FilePermissionAnalysis_FileReadable,2
0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38,Barclays,Network,X509Checker_BadSSLErrHandling,3
0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38,Barclays,Cryptography,PBKDFAnalysis_HardCodedSalt,2
0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38,Barclays,Storage,FilePermissionAnalysis_FileWritable,3
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,X509Checker_BadProtocolVerify,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,X509Checker_BadCheckCertificateChain,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,HttpCompAnalysis_BreachVuln,2
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,SSLSocketFactory_NoHostnameVerification,3
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Potentially Malicious,PotentiallyMalicious_DevicePolicyManager,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
