"sha256","App_name","Category","Number of type"
"0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054","SG","Network","2"
"0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054","SG","Permissions","0"
"0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054","SG","Cryptography","2"
"0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054","SG","Storage","1"
"0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054","SG","Inter-Component Communication","0"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","Network","9"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","Permissions","0"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","Cryptography","6"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","Java Code Security","0"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","Dynamic Code Loading","1"
"520864F7A5698779482742B6B39E77930C4B5980B1BEE74E1B86D3F80F3889CB","BBVA España","Potentially Malicious","1"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Network","8"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Potentially Malicious","1"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Cryptography","7"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Permissions","0"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Inter-Component Communication","0"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Java Code Security","0"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","Storage","2"
"984F5A253B29959FEE6046675F6311425567A793579DEDE058207BA9ED07311C","Santander","UI","2"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","Network","3"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","Local Storage - Shared Preferences","0"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","Java Code Security","0"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","Permissions","0"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","Cryptography","5"
"13E4F1BAAA5A9B77E075030D113A1F789E7450B832C36905A8FE6C1B1C92517C","CaixaBank Project (Des)","Storage","1"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","Network","1"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","Java Code Security","0"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","Permissions","0"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","Cryptography","1"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","Storage","1"
"0457A7B83E2508764444FF0583DF90071CEC479EE5DB99DBBB56690DEA137A38","Barclays","Inter-Component Communication","0"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","Network","4"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","Potentially Malicious","1"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","Cryptography","4"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","Inter-Component Communication","0"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","Permissions","0"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","Java Code Security","0"
"15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6","Mes Comptes","UI","1"
"C7C3D1AB4DF5BA8881EDA21CA5B93F3E40BD7EA8746292BED82D89650E727EF0","Deutsche Bank","Java Code Security","0"
"C7C3D1AB4DF5BA8881EDA21CA5B93F3E40BD7EA8746292BED82D89650E727EF0","Deutsche Bank","Permissions","0"
"C7C3D1AB4DF5BA8881EDA21CA5B93F3E40BD7EA8746292BED82D89650E727EF0","Deutsche Bank","Cryptography","2"
"C7C3D1AB4DF5BA8881EDA21CA5B93F3E40BD7EA8746292BED82D89650E727EF0","Deutsche Bank","Network","7"
"C7C3D1AB4DF5BA8881EDA21CA5B93F3E40BD7EA8746292BED82D89650E727EF0","Deutsche Bank","UI","1"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","Network","0"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","App Certificates","1"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","Java Code Security","0"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","Permissions","0"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","Cryptography","1"
"B382F430D69CFCB85FD2125F41C36F4D90C5AEA19E66258BCF9543E532B6C63A","Lloyds Bank","Build Parametrization","0"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Cryptography","6"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Storage","2"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","UI","2"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Network","10"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Potentially Malicious","1"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Permissions","0"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Inter-Component Communication","0"
"6731287CC02B44929D78B2D591364F0F688F72660C169F4866314A91E8BA3C47","HSBC UK","Java Code Security","0"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Permissions","0"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Storage","2"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Network","7"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Potentially Malicious","1"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Cryptography","5"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Dynamic Code Loading","1"
"CDB84D3C2D3723D9B49FBC15C7A06398B960E56887719F9E05D21FC471678DB8","Banque Pop","Java Code Security","0"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","Network","11"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","Inter-Component Communication","0"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","Java Code Security","0"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","Permissions","0"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","Cryptography","7"
"D39D685DA0D5218ACAFED8D9464831E01A7409D464441FCD77ED3C0A20504720","UniCredit","Build Parametrization","0"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","Java Code Security","0"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","Potentially Malicious","1"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","Cryptography","1"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","Permissions","0"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","Network","2"
"55409F78A11F3A56C5AFA1BE74B65887620D534A7E6976C1F78B93155FB5EF41","Straight2Bank","Storage","1"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","App Certificates","1"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","Java Code Security","0"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","Permissions","0"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","Cryptography","7"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","Logging","1"
"42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7","42705EF0FA8D866B47162A4C239DB3E9F7A8D6B69366C137D2647335649385E7.apk","Network","1"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","UI","1"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","Network","0"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","Java Code Security","0"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","Cryptography","3"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","Permissions","0"
"58B65F7EC556C26473BFC20A9F8A18408141947332CC30565545C616D5602B39","Banking","Inter-Component Communication","0"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","Network","8"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","Cryptography","3"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","Permissions","0"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","Inter-Component Communication","0"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","Java Code Security","0"
"F0CC8B07AD8C0C0BE549451B21E5CF7E41CF4F1CF1EA2945A5629D8C6EDDD875","Ma Banque","UI","1"
"64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D","64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D.apk","Network","2"
"64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D","64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D.apk","Java Code Security","0"
"64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D","64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D.apk","Permissions","0"
"64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D","64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D.apk","Storage","0"
"64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D","64E454D6CFEBB1F24C57DE7F4B38EB8AE2B3E059745AEA0FFEDEE84731A4674D.apk","Cryptography","6"
"5D2646E8F15D162F666A9376A6696213F0E0EF269924984DFDA12AA64A27A83F","Private","Network","6"
"5D2646E8F15D162F666A9376A6696213F0E0EF269924984DFDA12AA64A27A83F","Private","Cryptography","4"
"5D2646E8F15D162F666A9376A6696213F0E0EF269924984DFDA12AA64A27A83F","Private","Permissions","0"
"5D2646E8F15D162F666A9376A6696213F0E0EF269924984DFDA12AA64A27A83F","Private","Potentially Malicious","1"
"5D2646E8F15D162F666A9376A6696213F0E0EF269924984DFDA12AA64A27A83F","Private","Java Code Security","0"
