"sha256","App_name","Number of category"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","3"
"9B56C49736C834592890DC3DFC0DA424142574E22C57F1C7E633B62756C4665C","BRImo","3"
"5C296D6ED76A71A8995390E4BB5D0B0BAB6D9B4ED0B1671ACCA4806854C71C35","NBE Mobile","1"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","4"
"8A794BE7662091C0B15CCCFDC7F2E31FCD6D4C992009F2C65308C70532564601","Bancolombia","3"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","4"
"A10064BB96C06DE5FD5B62637EBBFCA9A0D0F53C54DC1FC29F3DC1CB96C88768","Equity mobile","2"
"06F5E95A771FDEE521AE23AB01250244C36A8A15E761A6D26AA789F5E3EA07E8","OTP Bank","2"
"2F41E714B22D79F4CB3962BA3B4BFF9405B936D8E00878C7C713269E457A3C7E","qr","2"
"993CE4AA9C67B2AC9D50E84EA4E21E8F85F0351BBCA0D3157A97CD568CC78B93","پی‌پاد-paypod","1"
"DA6E8077C4C676034C1453C97D93A2D624F06F8F8A1CE8A3A9C6A30DC4B7E18F","Access More","2"
"ABCCDB0A0B6A6D22172C4CBF6C3B445463B79C37FB6AA80E5D6C4AA5D045C7F8","IKO","2"
"095D5044AB4B8F0B05C76FF95BB5B52167A16ED4AC32C9482A5DCE9F88E82887","Itaú","4"
"B6E9F24442E06C393C7A4AE128D2F6FBDF41032DB0EF3A3D5B1DA08FAD37F21C","K PLUS","3"
"6522845A643198CF919D657CFFC0B54811C548E82C12BA7EFB98AAF4704686E3","BT24","2"
"7D17FF25F35A18AA3BCF6A8B9827D49AB763E0DEA621E986876289DB9CCF1323","Banorte Móvil","4"
"07DFD90EFEE05EE68EA487FF0464F5B760A1DF73DC74F0FC55BC5A0A79E27995","Attijari Mobile","3"
"F72D5115E77FBF75A3923A690417F37D4F0AA6CAC8B7A5CAD01FF845C88EC409","BDO Digital Banking","4"
"D4564EA7F89C2E6BFD5329B30CDCCBB763412CB32229B06AE51305BBEAB767D5","工銀亞洲","0"
"0314B172A6536AF4C5C7ED40210CC8F716FB79E00DB21D1685D0C47EC29F3C3D","M2U MY","4"
