"sha256","App_name","Category","Number of type"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","Network","4"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","General","0"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","Cryptography","4"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","Permissions","0"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","Java Code Security","0"
"C5833B5FF3DDF33E2FD99DF0769B03F9C3FAA3C16D252D4EFF7AA51EB56E0CCB","Yono Lite SBI","Logging","1"
"9B56C49736C834592890DC3DFC0DA424142574E22C57F1C7E633B62756C4665C","BRImo","Logging","1"
"9B56C49736C834592890DC3DFC0DA424142574E22C57F1C7E633B62756C4665C","BRImo","Network","2"
"9B56C49736C834592890DC3DFC0DA424142574E22C57F1C7E633B62756C4665C","BRImo","Cryptography","1"
"9B56C49736C834592890DC3DFC0DA424142574E22C57F1C7E633B62756C4665C","BRImo","Permissions","0"
"9B56C49736C834592890DC3DFC0DA424142574E22C57F1C7E633B62756C4665C","BRImo","Java Code Security","0"
"5C296D6ED76A71A8995390E4BB5D0B0BAB6D9B4ED0B1671ACCA4806854C71C35","NBE Mobile","Cryptography","0"
"5C296D6ED76A71A8995390E4BB5D0B0BAB6D9B4ED0B1671ACCA4806854C71C35","NBE Mobile","Network","6"
"5C296D6ED76A71A8995390E4BB5D0B0BAB6D9B4ED0B1671ACCA4806854C71C35","NBE Mobile","Permissions","0"
"5C296D6ED76A71A8995390E4BB5D0B0BAB6D9B4ED0B1671ACCA4806854C71C35","NBE Mobile","Java Code Security","0"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","Inter-Component Communication","0"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","Cryptography","3"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","Permissions","0"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","Network","4"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","Storage","1"
"9952610525D91C7D6510ACB04C347BCD173F4178D619958EAC10A5EE4449CF5A","Garanti BBVA","Logging","1"
"8A794BE7662091C0B15CCCFDC7F2E31FCD6D4C992009F2C65308C70532564601","Bancolombia","Cryptography","8"
"8A794BE7662091C0B15CCCFDC7F2E31FCD6D4C992009F2C65308C70532564601","Bancolombia","Network","11"
"8A794BE7662091C0B15CCCFDC7F2E31FCD6D4C992009F2C65308C70532564601","Bancolombia","Permissions","0"
"8A794BE7662091C0B15CCCFDC7F2E31FCD6D4C992009F2C65308C70532564601","Bancolombia","Potentially Malicious","1"
"8A794BE7662091C0B15CCCFDC7F2E31FCD6D4C992009F2C65308C70532564601","Bancolombia","Java Code Security","0"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Potentially Malicious","1"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Network","13"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Java Code Security","0"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Storage","1"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Permissions","0"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Cryptography","7"
"E42E256B5DFAEB9B9DF0429A6A341EA554E449F52C05D5FE6908BF1BA96B7F36","KB스타뱅킹","Local Storage - Shared Preferences","0"
"A10064BB96C06DE5FD5B62637EBBFCA9A0D0F53C54DC1FC29F3DC1CB96C88768","Equity mobile","Permissions","0"
"A10064BB96C06DE5FD5B62637EBBFCA9A0D0F53C54DC1FC29F3DC1CB96C88768","Equity mobile","Cryptography","2"
"A10064BB96C06DE5FD5B62637EBBFCA9A0D0F53C54DC1FC29F3DC1CB96C88768","Equity mobile","Network","1"
