sha256,App_name,Category,Vuln type,Number of occurence
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,5
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,Network,HttpCompAnalysis_BreachVuln,1
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,UI,UI_ClearTextPWField,2
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,UI,UI_SensitiveFieldSuggestion,11
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Storage,FilePermissionAnalysis_FileReadable,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,2
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,HttpCompAnalysis_BreachVuln,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,X509Checker_BadSSLErrHandling,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,X509Checker_InsecureCipherSuite,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,SSLSocketFactory_NoHostnameVerification,4
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,WebViewAnalysis_ContentProviderAccessEnabled,10
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,WebViewAnalysis_JSFileAccessFromFileURLEnabledDefault,9
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,WebViewAnalysis_JSUniversalAccessEnabled,9
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,WebViewAnalysis_JSFileAccessEnabledDefault,3
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,SSLSocketFactory_NoHostnameVerification,4
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,WebViewAnalysis_ContentProviderAccessEnabled,6
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,HttpCompAnalysis_BreachVuln,1
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,X509Checker_BadProtocolVerify,3
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,LoopbackServerAnalysis_Connect,1
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,X509Checker_BadHostnameVerify,1
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,2
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Cryptography,CryptoCheckAnalysis_UnsafeECB,1
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,UI,UI_ClearTextPWField,1
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,UI,UI_SensitiveFieldSuggestion,3
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Local Storage - SQLite and Other Databases,SqLiteDatabasePasswordAnalysis_PasswordFound,1
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Cryptography,PBKDFAnalysis_LowIterationCount,1
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,8
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Network,HttpCompAnalysis_BreachVuln,1
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Network,X509Checker_InsecureCipherSuite,1
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,1
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Network,WebViewAnalysis_ContentProviderAccessEnabled,4
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Network,WebViewAnalysis_JSFileAccessFromFileURLEnabledDefault,4
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Network,WebViewAnalysis_JSUniversalAccessEnabled,4
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Network,X509Checker_BadProtocolVerify,1
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Cryptography,CryptoCheckAnalysis_StaticIV,1
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,2
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,HttpCompAnalysis_BreachVuln,2
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,X509Checker_BadProtocolVerify,1
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,X509Checker_BadHostnameVerify,1
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,SSLSocketFactory_NoHostnameVerification,4
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,WebViewAnalysis_ContentProviderAccessEnabled,4
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,WebViewAnalysis_JSFileAccessEnabled,2
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,WebViewAnalysis_JSUniversalAccessEnabled,1
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,3
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Cryptography,CryptoCheckAnalysis_StaticIV,2
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Storage,Storage_SensitiveInformationWithoutEncryption,2
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Potentially Malicious,PotentiallyMalicious_DevicePolicyManager,2
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,Cryptography,KeySizeAnalysis_ShortKey,2
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,8
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,Cryptography,PBKDFAnalysis_HardCodedSalt,1
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,39
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,Cryptography,CryptoCheckAnalysis_HardCodedKey,4
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,Network,HttpCompAnalysis_BreachVuln,2
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,UI,UI_SensitiveFieldSuggestion,13
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,UI,UI_ClearTextPWField,3
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,1
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Cryptography,CryptoCheckAnalysis_StaticIV,1
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,UI,UI_SensitiveFieldSuggestion,2
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Network,HttpCompAnalysis_BreachVuln,1
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Network,X509Checker_BadSSLErrHandling,2
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Network,WebViewAnalysis_ContentProviderAccessEnabled,14
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Network,WebViewAnalysis_JSFileAccessFromFileURLEnabled,1
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Network,WebViewAnalysis_JSUniversalAccessEnabled,1
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,Network,WebViewAnalysis_JSFileAccessEnabled,1
