sha256,App_name,Category,Number of type
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,Java Code Security,0
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,Cryptography,1
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,Permissions,0
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,Network,1
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,UI,2
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Storage,1
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Permissions,0
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Cryptography,3
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Network,8
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Inter-Component Communication,0
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,Java Code Security,0
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Permissions,0
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Network,6
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Java Code Security,0
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Cryptography,2
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,UI,2
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,Local Storage - SQLite and Other Databases,1
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Cryptography,3
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Permissions,0
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,UI,0
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Network,2
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,Java Code Security,0
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Permissions,0
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Cryptography,1
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,Network,4
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Java Code Security,0
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Cryptography,3
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Permissions,0
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,Build Parametrization,0
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Network,7
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Cryptography,3
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Storage,1
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,Potentially Malicious,1
