"sha256","App_name","High","Medium","low"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","31","23","49"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","4","7","79"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","35","23","49"
"31C5F563741F8080454385749F9691A9B7B812007D206EBDDFD96B53588EB52A","Tamweel Touch","10","21","7"
"3A7ADC6D5729DE1C097F7405D804C1A58911F8E5861420692D4960BBB8B2FD65","My KEAZ par Orabank","13","4","7"
"8C25604514200706335CA8B0D3DF5D7FD05867B514DFB170A5DA8222E376081F","ALease Pay","15","20","17"
"881F3122D95714FCDC811D16C9ACC2F55A04D9E8B5880C9AF5526C3A91FCD2FB","Banque Populaire Côte d'ivoire","16","26","59"
"092AE15F7D45C524D80F0666DBB3FA5142588CA52E9181298D7EE2C34F62CD8C","Bridge Touch","21","11","20"
"F5C0152806212ADF840E27AB0883CD87B4A9C35AA220E6D1F8E497A06E4B877B","AFGmobile","14","8","78"
"23E8E59D4874A127ACB382882A1B3A837E6B6B43C980DE03361F30374B270580","MyBOA","15","23","17"
"2287007DF55EDD7B3453D64275C08B7FE8235755B20E4B584F0293143A8D1A78","Standard/Stanbic Bank","44","27","24"
"6E5404EC7DF37FC26916D1A1E26CB5415421A0E18B8B18EBC6EAE60D4BC93584","Atlantique Mobile","12","4","12"
"18722FD2688DD128E1B467AC421C0A5EF17BD9844E795C7FD7667B13550B2158","NSIA Banque Direct","2","6","2"
"AD7394617430C3BEEB0B320E23C15AEC4F92AA78ACC3B443992F657C2F51200F","BIMAO","10","17","9"
"3B3297FC6505EC1E5462B60738B88A57910B7B98865BEFD982F6516C8B7D2A0F","Ecobank","25","18","73"
"647C14F146F39205A64C349FE65CFBAD68D85374E2CC37A30A39BB4A6D0A4AB3","CBAO Mobile","15","27","11"
"CFD84C1BACE43BC24231B3EB5645555F52104510358C3DC48EE071C71BBBF802","BIAT","18","17","4"
"548A3CF09DEB3B997A8251520D525D87F4FEBDB8C4A56ED7E3C546569A43630D","SC Mobile","25","62","46"
"EBEAF1F854847681A435C0692233D8C5157AF7B6041FF7A7D6827C9200B2053C","BDU Mobile","4","4","2"
"962E51F7E1F179D3872661E85605EF6EF85D9A7AD72F83674CA7DFB171DCD616","BDMKUNKAN","18","26","61"
"4B1ACF2ACA48EAA3D48243976C89A8CBB5E8EAF273B8BB79852F0613E903EEC5","SG CONNECT","18","35","24"
"5701A489498CF190652FFCCE54972841EFE4BB4B5A0F6950B4EAF3FDC275179C","BHN Mobile","20","23","5"
"2757808CADDEF2EA9B2C447DAD72B7C913F20ED286CA1B17EFC55208DA4F5C64","CDS Online","35","1","13"
"2D431FAB3899C6E7067B876F0D946389C2BDE4F0ACCD21130811FD472BEC6FBB","Ecobank Online","10","23","41"
"37BCDBE041A9506614A227D1375CABF8635D96C89B44C4FFBF523A893C3F5DA5","ZeynaCash","1","6","22"
"E8EF8F0A1467CC6B35897BB6B57C6CF8C46AB02497A673120ACF2A159F9AE3BB","BSIC","123","15","21"
"F995B497995CDC5DEB43727493EE1D0672ECE132BDD7F0352AEFA8BC3EDB2710","FBNMobile Senegal","4","4","18"
"B65ADF05355EF322D8F27EDC1BAEEF575C8531EE5FDB22A44EE084BA48E7F2E7","BHLINK","23","26","63"
"BCE4B5101278CDB3CCBB8EC3C1CA0775D7E2975DFC181935AB3A30A35027DC13","Citi Mobile","241","125","124"
"923750A26F119F54833319A58D128AC78EC496A7B4354E0D590085B3DC174004","BDM-ECONNECT","51","30","53"
"8AEDB84BB2D4F91BFB64A29511044CA8A4AB5355EAE8A6CE2F5FE9865A15DA32","Outarde","2","6","10"
"42655DE38F8088A316C78A1F435F295235A4F526FB65585D8344336137BC22F7","BICIAB Mobile","21","4","4"
"9717CB05209B9C2922490CD9821EA6BF245B65CE4571252DC4353211E8BCA0AB","BIA Niger","12","4","12"
"D2F2FA33EBF421EB03B8DC85007818D30C98A5B88D4369FEEB5841B9C13973DD","SARA","6","19","2"
