"sha256","App_name","Category","Vuln type","Number of occurence"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","X509Checker_BadCheckCertificateChain","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","X509Checker_BadHostnameVerify","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","WebViewAnalysis_ContentProviderAccessEnabled","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","WebViewAnalysis_JSFileAccessFromFileURLEnabledDefault","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","WebViewAnalysis_JSUniversalAccessEnabled","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","Network_DefaultHttpClientDeprecated","17"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","Network_ClearTextTraffic","2"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Backend Credentials in Code","BackendCredentials_BasicAuth","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","16"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Cryptography","CryptoCheckAnalysis_UnsafeECB","4"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Cryptography","PBKDFAnalysis_LowIterationCount","4"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Cryptography","PBKDFAnalysis_HardCodedSalt","4"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Permissions","IPC_PrivilegeEscalationActionTrigger","2"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Permissions","IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Permissions","Permissions_UnusedPermissions","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","App Certificates","AppCertificates_InsufficientKeyLength","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Java Code Security","JavaCodeSec_SetAccessible","45"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Network","X509Checker_BadProtocolVerify","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Network","SSLSocketFactory_NoHostnameVerification","2"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Network","Network_OpenProxy","7"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Network","HttpCompAnalysis_BreachVuln","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Network","Network_ClearTextTraffic","2"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","5"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Permissions","IPC_PrivilegeEscalationActionTrigger","5"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Permissions","Permissions_UnusedPermissions","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Permissions","Permissions_SystemPermission","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Java Code Security","JavaCodeSec_SetAccessible","63"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Build Parametrization","ELFCompilerFlagsAnalysis_RELRODisabled","1"
