"sha256","App_name","Category","Number of type"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Network","7"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Backend Credentials in Code","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Cryptography","4"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Permissions","3"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","App Certificates","1"
"749989642D10665BB183C7A0096FA89420AB3DE9F18868228A7F2FCBF475A17B","BMSKIBARU","Java Code Security","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Network","5"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Cryptography","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Permissions","3"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Java Code Security","1"
"EBF98B28575509CF740795A7F14702535D965CCD9057660203ECF2F12452F99F","MyNITA","Build Parametrization","2"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","Network","8"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","Backend Credentials in Code","1"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","Cryptography","4"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","Permissions","3"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","App Certificates","1"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","Java Code Security","1"
"139D1CA210B21BE02F29CB22FAF20F888B6EB1BA30842A9DD72F0640BC7DD759","BAGRINET","Logging","1"
