sha256,App_name,Number of category
C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75,BMSKIBARU,6
F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF,Banque Populaire Côte d'ivoire,7
B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A,Wafacash,6
727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48,Standard/Stanbic Bank,8
1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8,CBAO Mobile,5
E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99,SARA,5
4E7313B73F26C01FF6BC7BFD4E54F76E27BCC7738307CBA807B0D0EAB3DA1F51,BSIC,7
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,6
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,6
477612E61D2BFFCEA85A8E0F3260301D5CF2B62F4D935A4272B65C912E7FCE2A,SG CONNECT,3
74D9EFE9C3526BF8F9AD3833D89266ED00CA344D8BDEE3075D7AE26CE63171D1,My KEAZ par Orabank,5
FF57005E83FB540006F20136C9F99D2D5A4E83416665E4FB6E11D714B8236C7D,Tamweel Touch,5
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',6
9B72E86D4926E74F6423A8E4F165D4A94212908B5AE802301DAA475D068074F2,Ecobank Mobile,4
1FB94FC79A77BDCD7CED06409FC3B80F8E9B38507309FC1EB57B5E75B3024AFD,MyBOA,5
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,6
E584F9943ECADDA74B46A9959D0D2BF03EA317699934A484C7170E1255547A2B,Versus Mobile Banking,7
E44F6287BB565A76F9285D5BED34D9FE2F801758848F4AB0DD59A085F60AE350,BNIONLINE,5
D7A72EE3E7D2E464733C648BCB92C29584A9B124A3638B563161F8D3C665E42C,NSIA NOVAPLUS App',6
26DFC63ED1AECC9873A4442BBA31766B4FE554F52A5A48EB16E775DF1FECD28D,Bridge Touch,4
9C6489C7A10F4C83A7B42BA1B2E195ABDC28D71269CC3BC785C319737CEFB7E9,UBA Mobile,4
8C190C833ED05E66457423D3BF228153910C9E47306F2DBFF5593AC64DB42A9D,MyBOA-MALI,7
7429FF1DAF00BB8809C1F494357BCA4FC80C404BFC237F53905EA35D028AC119,Atlantique Mobile,4
47E699190C1F72A2301729310618F8B3D7CF37D39D1E7078DE1A2F98A245D698,Citi Mobile,7
9FD863113685EEF695822C9FDB46B574234C65D3664FB87500F500C9CA8E8A6F,Banque Atlantique,3
B4DADC523B977ED57E17F990E8C3900D4B91B65BAB9C68504D06AE9B052A73DB,SC CI,5
4B9FA43CF93419FF274329D97FA1DD2321B55790665F2C5124427443145B0020,Tamweel Touch,5
DD607A698C50EFD337216713866E85514C081B925469C55F0D6BF0BE4B2A086C,CDS Online,5
1C829A1F0D36B67FE05A719DB0F8036CADCFE28266CB31A17DC2A11039CCD112,Al-Izza Money,4
71747EBC91A36BCE65EEAF8E66790636D624B74C9A45233E0B52B17ED2C92412,My KEAZ par Orabank,4
AE23EA5B588845E856F6C7B9E6E5AB87E2CBE2454A56D599BCB437E3225C9705,My KEAZ par Orabank,4
FB353A9FDA07EFACFB37074082A2319E8F5B0376BDD0AB45E2B5ADB24A615B39,U-Mobile,3
BF9B3B94A0B4E874B267D90931B6FB1EA5EA4925CE395EDE9295A3766F1C1F0A,UBA Mobile,4
A6609F0F635566BDB8119FCBAB5761F66456C036F0F4C6BB3B176047C49829F1,MyBOA-MALI,6
3C912C7642CC764C20E48531BA0C7285E9767A1E9F993B39E62F31D47507CE2E,SC Mobile,6
F065A8A59A25047EE577D75C02AD8C8E8CE88685B2CB20600B57B67E5BA41455,Banque Atlantique,5
801147464AC2E26DA75BD213E8AA89B5A3061240EC12AACF0AE1A33433069A1C,BANKCELL,7
824C6CDF1F99FAD1548BBF7FE30D316EFE0AC555224B89531FBC42DEA7594FA6,SIBNET,5
AADE1A71AAA68469952127005BC370C581571BD7EFE84EE75C4DB2AC213DC526,Al-Izza Money,5
2E300F70EE09D7D6FE99F62C13E8A3E6303A69DA51D9756B1CFDE8414E9507DC,BHLINK,6
D2EE1F53458B74852EFAE48005C5FA10CCD051C6327C425A20D9E57AEADBEC44,SIBNET,5
AB713CDCFDD0AF5EF094CA84C9767AFDE432525E397472399FA56D20C3C008BC,Mobile Banking,5
E945E062BA994DACEC66C26BD833E3E062652D567D2137CCC81C76920BFF8FE8,Citibank,7
C2C55B5764EE02AB37281DF4106054015A10EF5E889B03691325D5F706C9F9A0,BIA Niger,4
F4D1C7DBE80C1AE51B29CF8D780EABADD1BD072BB721255FDB1C7E7FBDF4F0C6,Atlantique Mobile,3
AE097F28F4914F99AFD8807304264A04D32FF9C4F2B208C77C8252F7801B3BA2,Ma Banque,2
659440B717EC6C627F1D3507970E08AE88436F5848CF02390E587917E1DD9433,ALease Pay,5
02BF9D015C06A35FB8C33C893713536A1266BD96A5E17FA645E3174866A81AC6,AFGmobile,4
CBC926EEB1515978F7C5C35EF968095C2D42623977CC6F053E87B61BC85A2A08,BOA Mali,7
