"sha256","App_name","Category","Vuln type","Number of occurence"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Backend Credentials in Code","BackendCredentials_BasicAuth","1"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Network","X509Checker_BadHostnameVerify","1"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Network","Network_DefaultHttpClientDeprecated","58"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","19"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Cryptography","CryptoCheckAnalysis_UnsafeECB","4"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Cryptography","PBKDFAnalysis_HardCodedPassword","2"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Cryptography","PBKDFAnalysis_LowIterationCount","2"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Cryptography","PBKDFAnalysis_HardCodedSalt","2"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Permissions","IPC_PrivilegeEscalationActionTrigger","2"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Permissions","Permissions_UnusedPermissions","1"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Local Storage - Shared Preferences","LocalStrgSharedPref_WorldReadable","2"
"C0CC13EA56C7F9215590DE32C6B93E38E50D2AAC3F5B68A80C1A953FB7FD9B75","BMSKIBARU","Java Code Security","JavaCodeSec_SetAccessible","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Cryptography","PBKDFAnalysis_LowIterationCount","4"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Cryptography","PBKDFAnalysis_HardCodedSalt","4"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","16"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Cryptography","CryptoCheckAnalysis_UnsafeECB","4"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Logging","LogOutput_DataLeak","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","Network_ClearTextTraffic","2"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","X509Checker_BadCheckCertificateChain","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","X509Checker_BadHostnameVerify","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","WebViewAnalysis_ContentProviderAccessEnabled","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","WebViewAnalysis_JSFileAccessFromFileURLEnabledDefault","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","WebViewAnalysis_JSUniversalAccessEnabled","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Network","Network_DefaultHttpClientDeprecated","58"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Backend Credentials in Code","BackendCredentials_BasicAuth","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Permissions","IPC_PrivilegeEscalationActionTrigger","2"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Permissions","IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Permissions","Permissions_UnusedPermissions","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","App Certificates","AppCertificates_InsufficientKeyLength","1"
"F9AC80105BC97B02B7CCBB4C7AEDF012476F049142E7863BA8BC1AF7A311EFBF","Banque Populaire Côte d'ivoire","Java Code Security","JavaCodeSec_SetAccessible","2"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Java Code Security","JavaCodeSec_SetAccessible","5"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Network","HttpCompAnalysis_BreachVuln","1"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Network","Network_ClearTextTraffic","2"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Network","X509Checker_BadProtocolVerify","5"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Network","SSLSocketFactory_NoHostnameVerification","2"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Network","WebViewAnalysis_ContentProviderAccessEnabled","1"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Network","WebViewAnalysis_MixedModeAlwaysAllow","1"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Logging","LogOutput_DataLeak","1"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Backend Credentials in Code","NetworkDataHeuristic_HardCodedCredentials","1"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","32"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Permissions","IPC_PrivilegeEscalationActionTrigger","13"
"B35172E79E8909D811FF1573B5FD4A3646D4FA93DA9D1DE5E4C13E0EF26E994A","Wafacash","Permissions","IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission","4"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Network","Network_OpenProxy","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Network","Network_DefaultHttpClientDeprecated","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Network","Network_ClearTextTraffic","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Local Storage - Shared Preferences","LocalStrgSharedPref_WorldReadable","2"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Java Code Security","JavaCodeSec_SetAccessible","3"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Storage","Storage_DirectoryTraversalWrite","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Permissions","Permissions_UnusedPermissions","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Permissions","IPC_PrivilegeEscalationActionTrigger","2"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Permissions","IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission","2"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Cryptography","PasswordHeuristicsAnalysis_HardCodedPassword","5"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","8"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Cryptography","CryptoCheckAnalysis_StaticIV","3"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","Cryptography","CryptoCheckAnalysis_UnsafeECB","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","UI","UI_SensitiveFieldSuggestion","1"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","UI","UI_ClearTextPWField","7"
"727A5CFD507D2D777D6A58088CBDDDE8C923A72A92176661EB45DC601E9B2D48","Standard/Stanbic Bank","General","General_TextInjection","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Logging","LogOutput_DataLeak","4"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","Network_ClearTextTraffic","1"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","X509Checker_BadCheckCertificateChain","1"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","X509Checker_BadHostnameVerify","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","WebViewAnalysis_ContentProviderAccessEnabled","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","WebViewAnalysis_JSFileAccessFromFileURLEnabledDefault","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","WebViewAnalysis_JSUniversalAccessEnabled","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","WebViewAnalysis_MixedModeAlwaysAllow","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","WebViewAnalysis_ThirdPartyCookies","2"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Network","Network_DefaultHttpClientDeprecated","4"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Storage","Storage_SensitiveInformationWithoutEncryption","5"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Permissions","IPC_PrivilegeEscalationActionTrigger","30"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Permissions","Permissions_UnusedPermissions","1"
"1BE211385EB81BA17EE015D9BB0D8B3741CBE2C078AF2FB9C1A37059370F0CE8","CBAO Mobile","Java Code Security","JavaCodeSec_SetAccessible","1"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Network","X509Checker_BadProtocolVerify","2"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Network","SSLSocketFactory_NoHostnameVerification","2"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Network","Network_ClearTextTraffic","1"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Cryptography","CryptoCheckAnalysis_InsecureCryptoAlgorithm","17"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Permissions","Permissions_UnusedPermissions","1"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Build Parametrization","ELFCompilerFlagsAnalysis_RELRODisabled","1"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Storage","FilePermissionAnalysis_FileReadable","1"
"E093788DB70B1552E92116A7D3B7EBF1674A382CE806DB98A9A384BBFABAAA99","SARA","Storage","FilePermissionAnalysis_FileWritable","1"
"4E7313B73F26C01FF6BC7BFD4E54F76E27BCC7738307CBA807B0D0EAB3DA1F51","BSIC","Dynamic Code Loading","CodeLoading_UntrustedDeserialization","1"
"4E7313B73F26C01FF6BC7BFD4E54F76E27BCC7738307CBA807B0D0EAB3DA1F51","BSIC","Inter-Component Communication","IPC_IntentInjection","1"
